UPPER_BUS_PHASE_C,OUTGOING_PHASE_B,UPPER_BUS_PD,LOWER_BUS_PD,SPOUT_PD,OUTGOING_PD,Status
25.79750134,25.3516643,0,178.125,0,0,0
25.79916781,25.35022558,0,130.8276825,0,0,0
25.81000032,25.3374706,0,18.75,0,0,0
25.80416775,25.32753314,0,65,0,0,0
25.81583473,25.31330412,0,65,0,0,0
25.79916781,25.30583417,0,127.96875,0,0,0
25.76250274,25.30083445,0,58.125,0,0,0
25.7966678,25.30000114,0,88.59375,0,0,0
25.81166844,25.30000114,0,58.125,0,0,0
25.79833444,25.29916781,0,64.96826172,0,0,0
25.80247223,25.30083469,0,189.6289063,0,0,0
25.80147402,25.29916781,0,166.25,0,0,0
25.79772383,25.30166756,0,59.8828125,0,0,0
25.79833423,25.30000114,0,129.8730469,0,0,0
25.80250107,25.31250075,0,32.49603271,0,0,0
25.81000075,25.37147175,0,129.4921875,0,0,0
25.83416788,25.39833298,0,125.9375,0,0,0
25.86813736,25.42503033,0,178.125,0,0,0
25.90999822,25.48977635,0,129.9365234,0,0,0
25.90586297,25.50666669,0,189.9072266,0,0,0
25.950834,25.57397266,0,65,0,0,0
25.96474559,25.60000038,0,145.3128052,0,0,0
25.99419588,25.60166707,0,59.765625,0,0,0
26.01333253,25.62416832,0,188.515625,0,0,0
25.96686246,25.60749883,0,59.765625,0,0,0
25.95083335,25.5983335,0,19.9609375,0,0,0
25.90249944,25.54352879,0,52.5,0,0,0
25.89580342,25.50166667,0,129.9682617,0,0,0
25.88166591,25.45269583,0,0.311889648,0,0,0
25.81772514,25.40000006,0,59.97070313,0,0,0
25.78833531,25.34602965,0,52.5,0,0,0
25.73666406,25.30083489,0,59.765625,0,0,0
25.71186371,25.26772544,0,189.9768066,0,0,0
25.70166721,25.20413754,0,239.9414063,0,0,0
25.69666742,25.19750075,0,189.2578125,0,0,0
25.68416823,25.18416736,0,128.984375,0,0,0
25.64686202,25.16746983,0,32.49603271,0,0,0
25.62083307,25.14833363,0,19.99511719,0,0,0
25.60416684,25.11855772,0,1.874542236,0,0,0
25.60336349,25.10416727,0,19.84375,0,0,0
25.62413658,25.10813893,0,10,0,0,0
25.72627803,25.18916761,0,64.93652344,0,0,0
25.87877746,25.27397291,0,89.95605469,0,0,0
26.02730384,25.36063752,0,0.007323325,0,0,0
26.16313944,25.44313862,0,189.6289063,0,0,0
26.28294557,25.52813814,16.24603271,127.96875,0,0,0
26.41063999,25.61166622,0,58.125,0,0,0
26.53313806,25.69314014,0,59.53125,0,0,0
24.82519616,23.59500057,0,0,0,0,0
24.77916775,23.53602905,0,129.8730469,0,0,0
24.72269491,23.50166667,0,19.98046875,0,0,0
24.69250079,23.49185391,0,2.031002045,0,0,0
24.6901946,23.42999844,0,129.9920654,0,0,0
24.62814247,23.40166607,0,0.233917236,0,0,0
24.62686268,23.39583302,0,59.94140625,0,0,0
24.60166725,23.36019425,0,129.7460938,0,0,0
24.59416725,23.30833521,0,0,0,0,0
24.58272571,23.30083469,14.99267578,16.24900818,0,0,0
24.57644374,23.29916803,0,19.99511719,0,0,0
24.57997019,23.28832813,0,129.9365234,0,0,0
24.56083289,23.26250207,0,59.8828125,0,0,0
24.53855596,23.23916657,0,0.039043427,0,0,0
24.53333428,23.24603019,0,59.8828125,0,0,0
24.5116661,23.25000383,0,0.468735695,0,0,0
