datetime,Start,End,UPPER_BUS_PHASE_A,UPPER_BUS_PHASE_B,UPPER_BUS_PHASE_C,LOWER_BUS_PHASE_A,LOWER_BUS_PHASE_B,LOWER_BUS_PHASE_C,OUTGOING_PHASE_A,OUTGOING_PHASE_B,OUTGOING_PHASE_C,UPPER_BUS_PD,LOWER_BUS_PD,SPOUT_PD,OUTGOING_PD,POWER,VOLTAGE,FREQUENCY,date,year,month,day,Q,PD_raw_max,Temp_raw_max,PD_sensor_std,PD_imbalance,PD_trend_max,PD_volatility,PD_spike_max,PD_growth_rate,PD_slope_24h,PD_persistence_24h,PD_burst,PD_burst_count_24h,PD_spread_count,PD_multi_high,health_index,Status
2025-09-05 01:00:00,2025-09-05 01:00:00,2025-09-05 02:00:00,31.0,31.4,31.300001,33.3,33.3,31.800001,31.6,31.5,31.800001,9.999695,259.95117,0.0,20.0,3.8925486,33.549213,50.019558,2025-09-05,2025,9,5,3,259.95117,33.3,125.24207,259.95117,,,,,,,False,,0,False,1.0,1
2025-09-05 23:00:00,2025-09-05 23:00:00,2025-09-06 00:00:00,31.1,31.5,31.300001,33.4,33.4,32.0,31.6,31.6,31.9,5.0,259.99023,0.0,20.0,3.9333298,33.67545,50.01274,2025-09-05,2025,9,5,3,259.99023,33.4,126.11511,259.99023,259.9803161621094,2.0741965550249817,0.08562013050035283,0.17759306534475172,,8.0,False,1.0,0,False,1.0,1
2025-09-05 22:00:00,2025-09-05 22:00:00,2025-09-05 23:00:00,31.0,31.4,31.300001,33.4,33.4,31.9,31.6,31.6,31.9,9.375,259.9218,0.0,20.0,3.9333303,33.676964,50.018314,2025-09-05,2025,9,5,3,259.9218,33.4,125.331665,259.9218,259.9705505371094,2.1226380349309255,0.055235518295964334,0.11724506724965522,,7.0,False,1.0,0,False,1.0,1
2025-09-05 21:00:00,2025-09-05 21:00:00,2025-09-05 22:00:00,31.0,31.5,31.300001,33.4,33.3,31.9,31.6,31.6,31.9,4.9804688,259.99878,0.0,20.0,3.9384587,33.695385,50.023685,2025-09-05,2025,9,5,3,259.99878,33.4,126.122795,259.99878,259.9803161621094,2.1748912131127085,0.09186363191554602,0.19979349772137311,,6.0,False,1.0,0,False,1.0,1
2025-09-05 20:00:00,2025-09-05 20:00:00,2025-09-05 21:00:00,31.0,31.4,31.300001,33.5,33.3,31.9,31.6,31.6,31.800001,0.009765606,260.0,0.0,20.0,3.9333296,33.671402,50.017033,2025-09-05,2025,9,5,3,260.0,33.5,127.01527,260.0,259.9705505371094,2.230896945692225,0.09458248690393242,0.2110038757324446,,5.0,False,1.0,0,False,1.0,1
2025-09-05 19:00:00,2025-09-05 19:00:00,2025-09-05 20:00:00,31.0,31.4,31.300001,33.4,33.3,31.9,31.7,31.6,31.800001,2.4804688,259.98032,0.0,20.0,3.9230738,33.648228,50.01965,2025-09-05,2025,9,5,3,259.98032,33.4,126.55683,259.98032,259.9607849121094,2.291460675972325,0.08833903141746074,0.2024255049856265,,4.0,False,1.0,0,False,1.0,1
2025-09-05 17:00:00,2025-09-05 17:00:00,2025-09-05 18:00:00,31.0,31.4,31.2,33.2,33.3,31.800001,31.5,31.5,31.7,9.6875,257.49756,0.0,20.0,3.8876638,33.635582,50.013866,2025-09-05,2025,9,5,3,257.49756,33.3,124.06991,257.49756,259.95849609375,2.4291939737900226,-0.9285572685051716,-2.2556466495289555,,2.0,False,1.0,0,False,1.0,1
2025-09-05 16:00:00,2025-09-05 16:00:00,2025-09-05 17:00:00,30.9,31.300001,31.7,33.2,33.3,31.800001,31.5,31.5,31.7,10.310059,260.0,0.0,20.0,3.8827796,33.635357,50.023537,2025-09-05,2025,9,5,3,260.0,33.3,125.214905,260.0,259.9596405029297,2.435977498887076,0.04343915234630878,0.10581684112548828,,2.0,False,1.0,0,False,1.0,1
2025-09-05 15:00:00,2025-09-05 15:00:00,2025-09-05 16:00:00,30.9,31.300001,31.2,33.2,33.2,31.800001,31.4,31.4,31.7,29.53125,258.75488,0.0,20.0,3.8778956,33.632603,50.020325,2025-09-05,2025,9,5,3,258.75488,33.2,121.74577,258.75488,259.95849609375,2.5213070865006637,-0.4490708201673745,-1.1322458902994867,,1.0,False,1.0,0,False,1.0,1
2025-09-05 14:00:00,2025-09-05 14:00:00,2025-09-05 15:00:00,30.9,31.300001,31.2,33.2,33.2,31.800001,31.4,31.4,31.7,9.6875,259.8407,0.0,20.0,3.8827798,33.635708,50.02203,2025-09-05,2025,9,5,3,259.8407,33.2,125.23896,259.8407,259.9596405029297,2.5962147169119296,-0.049034895764885456,-0.12730516706193384,,1.0,False,1.0,0,False,1.0,1
2025-09-05 13:00:00,2025-09-05 13:00:00,2025-09-05 14:00:00,30.9,31.300001,31.2,33.2,33.2,31.800001,31.4,31.300001,31.6,9.844054,254.99977,0.0,20.0,3.873012,33.61734,50.017517,2025-09-05,2025,9,5,3,254.99977,33.2,122.79765,254.99977,259.9607849121094,2.701956819672616,-1.8423770200998848,-4.978024996244017,,1.0,False,1.0,0,False,1.0,1
2025-09-05 18:00:00,2025-09-05 18:00:00,2025-09-05 19:00:00,31.0,31.4,31.300001,33.2,33.2,31.9,31.5,31.5,31.800001,9.999392,259.99512,0.0,20.0,3.9230723,33.63592,50.02231,2025-09-05,2025,9,5,3,259.99512,33.2,125.264046,259.99512,259.9596405029297,2.35735400018571,0.09691895864065575,0.22847239176434186,,3.0,False,1.0,0,False,1.0,1
2025-09-05 11:00:00,2025-09-05 11:00:00,2025-09-05 12:00:00,31.0,31.5,31.2,33.2,33.3,31.800001,31.4,31.300001,31.6,9.980469,259.99997,0.0,20.0,3.8876631,33.5828,50.02085,2025-09-05,2025,9,5,3,259.99997,33.3,125.269615,259.99997,,,,,,,False,,0,False,1.0,1
2025-09-05 10:00:00,2025-09-05 10:00:00,2025-09-05 11:00:00,31.0,31.5,31.2,33.3,33.3,31.800001,31.4,31.300001,31.7,9.980469,259.99878,0.0,20.0,3.8778956,33.56586,50.017467,2025-09-05,2025,9,5,3,259.99878,33.3,125.26902,259.99878,,,,,,,False,,0,False,1.0,1
2025-09-05 09:00:00,2025-09-05 09:00:00,2025-09-05 10:00:00,31.1,31.4,31.300001,33.4,33.5,31.9,31.4,31.4,31.7,9.9609375,259.9585,0.0,20.0,3.8827803,33.563038,50.019123,2025-09-05,2025,9,5,3,259.9585,33.5,125.252174,259.9585,,,,,,,False,,0,False,1.0,1
2025-09-05 08:00:00,2025-09-05 08:00:00,2025-09-05 09:00:00,31.0,31.4,31.2,33.4,33.3,31.9,31.5,31.4,31.7,5.0,259.9994,0.0,20.0,3.897432,33.53782,50.026276,2025-09-05,2025,9,5,3,259.9994,33.4,126.119675,259.9994,,,,,,,False,,0,False,1.0,1
2025-09-05 07:00:00,2025-09-05 07:00:00,2025-09-05 08:00:00,31.0,31.4,31.2,33.4,33.3,32.0,31.5,31.4,31.800001,2.4951172,259.9414,0.0,20.0,3.8827798,33.49492,50.013866,2025-09-05,2025,9,5,3,259.9414,33.4,126.5348,259.9414,,,,,,,False,,0,False,1.0,1
2025-09-05 06:00:00,2025-09-05 06:00:00,2025-09-05 07:00:00,31.0,31.4,31.2,33.600002,33.4,32.0,31.5,31.5,31.9,19.960938,259.9608,0.0,10.0,3.9130607,33.533184,50.024567,2025-09-05,2025,9,5,3,259.9608,33.600002,125.25227,259.9608,,,,,,,False,,0,False,1.0,1
